tree,node,depth,count,is_leaf,feature,condition,left,right,missing_go_to_left,value,threshold,left_categories
7,18,4,14180,False,category,"category in ['0103', '0104', '0105', '0107', '0108', '0808', '1140', '1201', '1302', '2403', '2514', '2703', '2802', 'прочее']",19.0,20.0,False,0.3174066243833686,,"[""0103"", ""0104"", ""0105"", ""0107"", ""0108"", ""0808"", ""1140"", ""1201"", ""1302"", ""2403"", ""2514"", ""2703"", ""2802"", ""прочее""]"
7,19,5,5006,True,,leaf,,,False,0.028848662314092624,,[]
7,20,5,9174,True,,leaf,,,False,0.017570763207431752,,[]
7,21,4,11168,False,category,"category in ['0103', '0104', '0107', '0108', '1201', '2403', '2510']",22.0,23.0,False,0.015566290928609769,,"[""0103"", ""0104"", ""0107"", ""0108"", ""1201"", ""2403"", ""2510""]"
7,22,5,1736,True,,leaf,,,False,0.014640651166229575,,[]
7,23,5,9432,True,,leaf,,,False,-0.001818767285246352,,[]
7,24,3,14112,False,mean_6,mean_6 <= 1.50809,25.0,28.0,True,0.47712788556861635,1.5080906148867315,[]
7,25,4,11183,False,log_scale,log_scale <= 6.11993,26.0,27.0,True,0.4060573572768695,6.119931051480283,[]
7,26,5,8425,True,,leaf,,,False,0.010692289723873167,,[]
7,27,5,2758,True,,leaf,,,False,0.01672379187589285,,[]
7,28,4,2929,True,,leaf,,,False,0.04932382839567221,,[]
8,0,0,86094,False,nonzero_12,nonzero_12 <= 0.375,1.0,10.0,False,0.0,0.375,[]
8,1,1,30705,False,mean_6,mean_6 <= 1.05124,2.0,7.0,True,-0.47699820934396875,1.0512417478780258,[]
8,2,2,22310,False,nonzero_12,nonzero_12 <= 0.208333,3.0,6.0,True,-0.5834229390681004,0.20833333333333331,[]
8,3,3,15611,False,category,"category in ['0104', '0203', '0811', '2403', '2502', '2506', '2802', '2901']",4.0,5.0,False,-0.6484219960309839,,"[""0104"", ""0203"", ""0811"", ""2403"", ""2502"", ""2506"", ""2802"", ""2901""]"
8,4,4,750,True,,leaf,,,False,-0.01507773707475142,,[]
8,5,4,14861,True,,leaf,,,False,-0.01507773707475142,,[]
8,6,3,6699,True,,leaf,,,False,-0.01507773707475142,,[]
8,7,2,8395,False,nonzero_12,nonzero_12 <= 0.208333,8.0,9.0,False,-0.19381320642474717,0.20833333333333331,[]
8,8,3,3247,True,,leaf,,,False,-0.01507773707475142,,[]
8,9,3,5148,True,,leaf,,,False,-0.01507773707475142,,[]
